,Sed_Thick,Age,Dip,Vel,Rough,Sub_Zone,Longitude,Latitude,Max_mag,PC1,PC2,PC3,PC4
1179,614.9763046,124.4296731,23.319898574058566,79.45092196,41.31160271,Sumatra,117.3037388,-11.33857696,8.31,0.34098385506651235,-0.9262518687585355,0.2762138596329378,0.12123916503782947
1180,616.4161768,124.1837096,23.319898574058566,79.34532122,47.29791893,Sumatra,117.0746825,-11.34678779,5.9,0.34284865977756473,-0.9189284177524748,0.2989771772342835,0.10719840747685633
1181,614.6918342,123.9795444,23.319898574058566,79.24916151,44.56905213,Sumatra,116.8455579,-11.3540261,5.9,0.3412009639392539,-0.9216892921340182,0.29206050324379773,0.11303391751810066
1182,433.5285197,136.6046528,11.8801333,79.15243584,9.656392986,Sumatra,116.6164344,-11.35352921,6.1,-0.5441809621174422,-0.47889290162780096,-0.33514266453590275,-0.3612735900571023
1183,431.689553,134.6675644,11.8633924,79.05512317,9.524777406,Sumatra,116.3911176,-11.32615752,6.1,-0.549165427402605,-0.4701025756574438,-0.33787042423745317,-0.36161290187628237
1184,433.2400742,134.4757293,11.979191,78.95910397,10.40618117,Sumatra,116.1676175,-11.2902122,6.1,-0.523977688554279,-0.5164870254584663,-0.30386129338541784,-0.3696602832683795
1185,653.334791,122.7746257,23.319898574058566,78.853161,51.97496942,Sumatra,115.9404498,-11.28411703,6.1,0.3291010930785179,-0.9209851638697413,0.31025816837987474,0.1208402504185863
1186,436.6867504,133.8416462,11.76624747,78.74662405,9.913131381,Sumatra,115.7114381,-11.28819414,6.4,-0.5469413305736539,-0.4899138916106517,-0.31705335446581484,-0.36094706480479244
1187,438.8698576,133.1154557,11.88962352,78.6501068,11.95675257,Sumatra,115.4835229,-11.27128871,6.4,-0.49095850508489064,-0.5784097913500431,-0.2439027975827458,-0.37637246816017966
1188,440.3524338,132.5531839,12.36073629,78.55164225,14.62582278,Sumatra,115.2586104,-11.22954519,6.4,-0.41131496243214805,-0.671381615314037,-0.16179795104819503,-0.37985799389529773
1189,440.1031964,131.6303987,12.34029799,78.45186104,16.46976869,Sumatra,115.0467406,-11.15468906,6.4,-0.37296177779213413,-0.7070691170904769,-0.11319219080382084,-0.38192306165598794
1190,437.8578937,131.1467038,14.34586742,78.34476243,17.25910737,Sumatra,114.8451096,-11.05842242,6.2,-0.2614618342267643,-0.7924655281218947,-0.06732276593578587,-0.34906263778654806
1191,753.027611,120.9149623,23.319898574058566,78.23904204,31.03624791,Sumatra,114.6315144,-11.01540813,5.1,0.26325137816076377,-0.9595625785069136,0.20082067457716862,0.25999946821191317
1192,758.0511546,121.0513807,23.319898574058566,78.13337955,29.08334348,Sumatra,114.4049443,-11.02081346,6.18,0.2543912179274455,-0.9620372385084868,0.18515083178797873,0.2778827951092955
1193,738.0348281,121.3300906,23.319898574058566,78.02639105,38.53975658,Sumatra,114.1774258,-11.02883996,6.18,0.2821074128199945,-0.9483119920260088,0.25475460923089954,0.21160428231917427
1194,347.6509323,129.792738,16.59014058,77.90875946,12.63602707,Sumatra,113.9565243,-10.99749352,6.18,-0.20760217139368564,-0.6770544873834049,-0.15396921858417212,-0.4945430007869816
1195,352.1589003,129.4775114,17.48756322,77.8011221,16.96708044,Sumatra,113.7379278,-10.93170055,6.5,-0.008137051650549893,-0.8063481897565621,0.04669464021732091,-0.4221383184812824
1196,361.4917867,129.1998141,17.14434704,77.68423392,25.18414136,Sumatra,113.5145066,-10.88546847,6.5,0.07188444082148299,-0.8433822275740618,0.19092469632166673,-0.3503151180587426
1197,373.6916666,128.9909179,15.97020908,77.56737587,32.08216641,Sumatra,113.2879984,-10.85776756,6.5,0.042340109597666764,-0.8461390063618589,0.22072363449920368,-0.33749372642868614
1198,395.610354,128.3826084,15.56222492,77.45908662,27.18740822,Sumatra,113.06249,-10.82457628,7.8,-0.03255628960321143,-0.852040741695023,0.1614212778603465,-0.33876985440537577
1199,436.1642434,127.599171,15.51299083,77.34155416,22.31738456,Sumatra,112.846521,-10.75521595,7.8,-0.11489657309611422,-0.8673879598860572,0.08227499278530367,-0.3041726043347786
1200,422.5882852,127.8571599,13.83902895,77.22476805,23.00677076,Sumatra,112.6285496,-10.69772082,7.8,-0.1973443046410231,-0.8144571943511867,0.062251950511200305,-0.3612917411808225
1201,441.9434142,127.4516032,13.05179006,77.09730605,22.74379454,Sumatra,112.402204,-10.66786656,7.8,-0.25146645925867406,-0.800371075002441,0.036956232866234784,-0.3555209599346716
1202,460.9977858,127.0429534,12.34688515,76.98057547,16.04917433,Sumatra,112.1772248,-10.63148757,6.0,-0.4095678508941052,-0.7089693688448869,-0.1029804436793029,-0.35277419928320763
1203,457.395635,126.5638213,11.89532854,76.8646219,8.334889081,Sumatra,111.9538432,-10.5950009,5.1,-0.6259382821255831,-0.4127967751788208,-0.35612129238887336,-0.30092546712610335
1204,697.0806277,121.8323571,23.319898574058566,76.74871334,96.74151235,Sumatra,111.7312884,-10.5979332,5.1,0.3178054170746636,-0.8964190944715114,0.3895528388018255,0.09429402304388382
1205,453.9230185,125.1047489,10.62971644,76.63056962,6.134277411,Sumatra,111.5183637,-10.58687442,5.1,-0.6889781691828116,-0.24452934598569256,-0.4160050777944826,-0.2678959096453038
1206,450.4656714,124.8605554,11.14638405,76.50399271,6.753279745,Sumatra,111.3054019,-10.53613421,5.2,-0.6750289399889191,-0.2891425175824775,-0.39983911279162687,-0.28057522309035476
1207,445.1989079,124.3382715,11.37395282,76.36747803,8.569880841,Sumatra,111.0805501,-10.50404525,6.4,-0.6288901113599243,-0.40806435453811973,-0.3245172839028984,-0.3263753219660442
1208,426.5569617,123.7245485,11.60677805,76.25015934,6.909578054,Sumatra,110.8534052,-10.48111151,6.4,-0.665832639432791,-0.28316695286538324,-0.39365514407054847,-0.3044876505987495
1209,402.7974246,122.1355511,11.58022102,76.12055242,4.864145343,Sumatra,110.6328183,-10.43570345,7.58,-0.6957859521145275,-0.07610443160096994,-0.47651970789268194,-0.2489879849475053
1210,500.6711017,120.7289661,12.21818627,76.00247693,7.246782831,Sumatra,110.4235356,-10.35133733,7.58,-0.6765918507334765,-0.36490759557392516,-0.4060785540369434,-0.21132872136754174
1211,425.870396,121.2769939,14.85872077,75.86526082,5.262587807,Sumatra,110.2098792,-10.29303439,6.2,-0.6757729104201219,-0.06825058044295208,-0.5744992750157735,-0.1346815837887847
1212,507.8693065,120.3081376,14.99456373,75.73803536,7.350539987,Sumatra,109.9862486,-10.26948794,5.8,-0.6525373262408214,-0.41174396558529636,-0.4759564772197187,-0.10243532621060789
1213,582.6983395,118.668236,15.11179704,75.60086309,10.50737507,Sumatra,109.7654676,-10.22054639,5.8,-0.5324980032992601,-0.7025039020748618,-0.2975909549365605,-0.07129466937866347
1214,751.1050343,114.1119205,23.319898574058566,75.47690309,78.51473052,Sumatra,109.5438331,-10.19540471,5.8,0.2912528311921612,-0.9106650129389153,0.3786854831680045,0.1373824830037805
1215,747.4705636,113.2793766,23.319898574058566,75.34976377,93.00437665,Sumatra,109.3232883,-10.21823174,5.8,0.2968710825111954,-0.902787620702648,0.3937994770397532,0.12133066715472818
1216,610.6533579,115.8843188,13.61304724,75.2110444,3.735081508,Sumatra,109.1123579,-10.18920653,5.0,-0.7224660382072172,-0.031095703368841637,-0.5928110746732117,0.11411377085821049
1217,601.0277252,116.0765755,12.41655442,75.07479471,5.791158529,Sumatra,108.8955152,-10.13342075,5.0,-0.7310685036593644,-0.2883104967546797,-0.4734991253063019,-0.04808998173954571
1218,617.210388,115.2237647,11.42561486,74.93858018,3.447281545,Sumatra,108.6687624,-10.1072609,4.8,-0.7501179275433751,-0.04519233073173667,-0.5424397797464794,0.02348312964698559
1219,631.0665492,114.3036852,10.62571094,74.7915998,6.362898851,Sumatra,108.4419055,-10.08209556,4.9,-0.7318921080657311,-0.3436596724209748,-0.402908586838459,-0.11352465339637477
1220,642.1446187,113.4037314,9.969638555,74.6554499,4.999035341,Sumatra,108.2150099,-10.05710276,6.0,-0.7561905575143748,-0.23827583192915786,-0.44164424234054367,-0.08842332567525438
1221,647.9706282,112.7995992,9.308147299,74.51763952,4.51309274,Sumatra,107.9881541,-10.04084481,6.7,-0.7635005683214217,-0.2019265106901692,-0.44380391384550355,-0.0924975552546827
1222,672.7927187,109.980186,9.324960262,74.38472491,38.88133199,Sumatra,107.7734587,-9.985996628,6.7,-0.34418323198979467,-0.8206274903421475,0.08019794914296136,-0.25318006599539916
1223,681.6711787,108.0450756,9.391565417,74.26178627,13.20687881,Sumatra,107.5833622,-9.864283362,6.7,-0.6089842673954413,-0.6172888589634803,-0.18231763997838302,-0.20938077549261358
1224,684.0389752,107.7439883,10.98662828,74.1206024,12.54112122,Sumatra,107.3978525,-9.738392577,6.7,-0.5984207909742885,-0.6531162596480836,-0.1947140799612631,-0.15559579414116642
1225,685.4111898,107.5626098,11.65654515,73.98193563,12.9276408,Sumatra,107.1938473,-9.645631262,7.7,-0.5785006748205548,-0.6865720881108139,-0.18119830597826583,-0.13442319411532774
1226,686.2058862,107.2830718,11.01629876,73.83415538,14.15489771,Sumatra,106.9755888,-9.58746096,5.7,-0.5667201209251774,-0.6932391331893851,-0.15062566164341865,-0.1634743525958103
1227,687.2912822,106.0393063,10.77699324,73.69296642,10.51049689,Sumatra,106.7548067,-9.538274078,5.5,-0.6530712703334399,-0.5805462130728142,-0.24529680920253383,-0.1385344177065383
1228,684.5318417,104.4795315,10.81883512,73.56090062,44.88961076,Sumatra,106.5483008,-9.450424004,8.5,-0.2597884330828049,-0.8719405252324066,0.14781146252328317,-0.20598866807449803
