,Sed_Thick,Age,Dip,Vel,Rough,Sub_Zone,Longitude,Latitude,Max_mag,PC1,PC2,PC3,PC4
0,1104.879474,66.88405641678723,23.319898574058566,75.04307097,49.21763496,Alaska_Aleutian,162.496502,55.22499676,7.8,-0.04430622087922883,2.440796222772973,0.41426783224323366,-0.6474426353393795
1,834.4749649,100.8275195,23.319898574058566,74.96303356,27.20100813,Alaska_Aleutian,162.8895061,55.22494406,7.8,-0.09642032852452502,1.686719539142633,0.24611902154308848,-0.6321299336559186
2,694.1470161,100.7093544,23.319898574058566,74.82009155,55.7196158,Alaska_Aleutian,163.2825088,55.22478568,7.8,0.2790466640859412,2.2672536168286612,0.608314076228328,-0.24467587670467048
3,728.5885682,100.4112647,23.319898574058566,74.74256886,39.59025458,Alaska_Aleutian,163.6755096,55.22464489,7.8,0.1205852554328759,1.9648834803645612,0.4520802386302567,-0.398806208041739
4,804.9548422,99.20930013,23.319898574058566,74.67408118,28.09386996,Alaska_Aleutian,164.0633939,55.20811251,7.3,-0.06927822963196116,1.6936096796184672,0.28025384496896005,-0.593112645794084
5,919.4392938,98.90636431,23.319898574058566,74.61454885,15.09240719,Alaska_Aleutian,164.4396517,55.19941267,7.3,-0.38278007763895777,1.1726700413971507,-0.019562196255601374,-0.9082055746789106
6,877.1898161,99.3795481,23.319898574058566,74.51346254,16.68319561,Alaska_Aleutian,164.7895147,55.15925266,7.3,-0.3192611988671925,1.2398592250210398,0.040008352277445,-0.8375168377654761
7,880.8010445,100.2048443,23.319898574058566,74.52397265,10.40893141,Alaska_Aleutian,165.1191825,55.05107661,7.3,-0.4971316541779481,0.7837038393257428,-0.16171399200259867,-1.0016615679431253
8,879.0985797,100.4788076,8.321601177,74.49194856,9.365897229,Alaska_Aleutian,165.4286451,54.92024579,7.5,-1.6361417021917612,0.9389449469469618,-0.9056447667037647,0.2964178434865874
9,876.0372022,100.1745184,9.760559845,74.52033883,56.79687751,Alaska_Aleutian,165.657772,54.74865174,7.5,-0.7920710151780394,2.649796811068627,-0.032337102760355535,0.7078343606992189
10,893.4073049,100.5888704,9.519001644,74.59390324,39.61431284,Alaska_Aleutian,165.8272282,54.54676676,6.3,-0.963162266893291,2.3185219212730934,-0.2104735710549211,0.6020696371175405
11,878.6813107,101.015227,8.919328359,74.60140816,24.34435762,Alaska_Aleutian,165.9966188,54.34509409,6.3,-1.20362021923306,1.8509292735547012,-0.4568149764644759,0.5329755615744216
12,819.0129384,101.9317676,8.051723599,74.64503734,14.35479134,Alaska_Aleutian,166.2071666,54.16076097,6.3,-1.4657776662267534,1.318922007933322,-0.7318578352338175,0.5396000844344393
13,815.387548,102.6778418,7.073890157,74.62141516,9.636986025,Alaska_Aleutian,166.5018496,54.02688138,5.5,-1.750211513388503,0.9610101772979217,-0.9869005753409689,0.5745259307980943
14,811.9781013,102.9013129,8.041342174,74.62733346,5.878556204,Alaska_Aleutian,166.84076,53.92843918,5.5,-1.794693705587521,0.4453935111742453,-1.1084724990246675,0.24334769280736815
15,788.1975053,102.8607197,9.508788549,74.5896836,9.155090632,Alaska_Aleutian,167.1553612,53.80755999,0.0,-1.4336410681138456,0.8150990074737773,-0.7966381281713297,0.20078479095088264
16,805.7523587,103.1333304,9.475726477,74.55984174,9.28523096,Alaska_Aleutian,167.4564944,53.67385121,0.0,-1.4461854444780233,0.8433909930516678,-0.7983091572703722,0.19303419607009387
17,814.3317888,103.1695791,9.717866007,74.5752479,10.2322563,Alaska_Aleutian,167.7871018,53.56946574,0.0,-1.3891643748225333,0.9382684975148423,-0.7435193031530329,0.1853246332340414
18,803.6292798,103.0313475,13.93574046,74.54630843,10.31958348,Alaska_Aleutian,168.084493,53.44683487,0.0,-0.9937750932424001,0.8472827773968448,-0.48993532199199186,-0.2677037359136157
19,815.2141906,103.2138345,13.53517333,74.55461689,9.017075548,Alaska_Aleutian,168.3407859,53.2914263,0.0,-1.0836428129052007,0.7324667542595861,-0.5714270699930867,-0.287121872506467
20,815.3924623,103.3085075,13.52154667,74.55577509,10.27362882,Alaska_Aleutian,168.6098756,53.1387843,5.4,-1.0362556394605724,0.859750420715626,-0.5168565224636638,-0.2414760965103411
21,796.2266603,103.3148621,13.30842352,74.54246374,14.50439378,Alaska_Aleutian,168.8937222,52.9949671,5.4,-0.9106883574692718,1.184101198241583,-0.37401844898915176,-0.0848155810710594
22,686.3840428,102.7624998,12.79214655,74.50008322,21.41695899,Alaska_Aleutian,169.2131016,52.8859782,5.4,-0.718646613041506,1.479327390851705,-0.19139789864316586,0.2144319474467246
23,583.7118141,102.0373869,13.65718851,74.42150496,23.24544071,Alaska_Aleutian,169.5620919,52.81540552,5.4,-0.5216911164119492,1.4399686739812447,-0.06281343390056239,0.2834086678651423
24,572.9434889,102.3628487,15.58633956,74.42647378,27.94895903,Alaska_Aleutian,169.8990138,52.72970106,4.8,-0.30059869903614683,1.574235439401885,0.11041801853268032,0.1898460427326592
25,613.2971307,103.029049,15.24193042,74.37835438,23.65814455,Alaska_Aleutian,170.2218906,52.62103789,4.8,-0.4289789284904603,1.4603253445379167,0.006608654528695847,0.10911597294858287
26,672.6366751,104.0381548,15.85924947,74.33068276,24.77880557,Alaska_Aleutian,170.5469093,52.51529607,7.01,-0.4265852141788294,1.553222878189715,0.028361453613904276,0.0019698311231606124
27,619.0466305,103.089272,19.20794208,74.29070534,20.20540499,Alaska_Aleutian,170.8655763,52.40362406,7.01,-0.24851817550706956,1.2540030730722,0.09732724599748666,-0.2510101502793599
