,Sub_Zone,Segment,Longitude,Latitude,Sed_Thick,Age,Dip,Vel,Rough,sSSE,lSSE,Max_mag
41,Alaska_Aleutian,41.0,175.3032684,51.06028645,373.1556979,50.74734036,37.79537346,73.66291401,11.88976488,U,U,7.24
42,Alaska_Aleutian,42.0,175.6520923,51.05873961,370.9993009,50.76096463,41.77028052,73.56669695,15.12628292,U,U,7.24
43,Alaska_Aleutian,43.0,175.9861459,51.00856115,374.0016693,50.6785323,41.33802634,73.42032689,14.60154852,U,U,8.7
44,Alaska_Aleutian,44.0,176.3008125,50.90530274,357.8437955,51.1686421,39.32747124,73.38787979,13.01548808,U,U,8.7
45,Alaska_Aleutian,45.0,176.6020712,50.7865392,338.5651213,51.74303851,37.18628424,73.36278961,14.7566028,U,U,8.7
46,Alaska_Aleutian,46.0,176.9223587,50.70797763,292.19521,52.65901181,35.82965925,73.3173622,10.86578182,U,U,8.7
47,Alaska_Aleutian,47.0,177.2610781,50.65304774,286.9271202,52.85790603,37.10591179,73.24488037,11.46238284,U,U,8.7
48,Alaska_Aleutian,48.0,177.5948846,50.57938556,276.6632023,53.26308733,36.40392659,73.12101545,15.47819706,U,U,8.7
49,Alaska_Aleutian,49.0,177.9277418,50.50511242,268.6150908,53.67657867,34.94430471,73.06330406,16.11909544,U,U,8.7
50,Alaska_Aleutian,50.0,178.2613431,50.43691934,260.9977077,53.97076025,33.31049652,73.00617851,17.72482505,U,U,8.7
51,Alaska_Aleutian,51.0,178.5981591,50.37755193,257.1499127,54.40716026,31.3668706,72.94282761,13.54438099,U,U,8.7
52,Alaska_Aleutian,52.0,178.9328933,50.36485941,261.9839515,56.28033921,31.08581998,72.85973923,10.93688135,U,U,8.7
53,Alaska_Aleutian,53.0,179.2738518,50.38876876,266.7309704,56.15388543,32.80514224,72.68349194,8.96353239,U,U,8.7
54,Alaska_Aleutian,54.0,179.6222385,50.37826897,266.823212,56.17691155,32.59386972,72.58830829,8.50107971,U,U,8.7
55,Alaska_Aleutian,55.0,179.9707693,50.35436963,265.0445736,56.25413203,31.53489,72.50743686,9.239438401,U,U,8.7
56,Alaska_Aleutian,56.0,-179.6789071,50.3483839,261.879973,56.26227492,30.86731694,72.33969104,9.289193926,U,U,6.71
57,Alaska_Aleutian,57.0,-179.3281971,50.34107192,249.9446447,56.27628076,29.12695649,72.24685737,7.439800508,U,U,6.85
58,Alaska_Aleutian,58.0,-178.9775768,50.33294721,226.3644509,56.29135577,27.69332044,72.16155763,10.7229681,U,U,6.85
59,Alaska_Aleutian,59.0,-178.6267388,50.32793768,211.8293429,56.47506858,25.91786717,71.99557556,9.542938716,U,U,6.85
60,Alaska_Aleutian,60.0,-178.2762291,50.32881161,201.8116635,56.604021,24.91892767,71.89854588,10.6281592,U,U,6.85
61,Alaska_Aleutian,61.0,-177.927079,50.34899047,195.1066138,56.63617917,24.52241369,71.72715037,12.19600052,U,U,6.5
62,Alaska_Aleutian,62.0,-177.5774102,50.36819751,190.3746967,56.87755269,23.73135368,71.62523019,9.766319011,U,U,6.5
63,Alaska_Aleutian,63.0,-177.2266666,50.38150981,187.6942576,57.93864433,23.28009107,71.52432383,9.905055196,U,U,8.6
64,Alaska_Aleutian,64.0,-176.8771053,50.40454335,189.5252962,58.12051904,23.48117911,71.34844077,13.91250646,U,U,8.6
65,Alaska_Aleutian,65.0,-176.5271414,50.42440258,194.816899,58.14197492,23.10225051,71.24932912,10.76603899,U,U,8.6
66,Alaska_Aleutian,66.0,-176.1811879,50.45729144,201.0157309,58.06903993,23.41320514,71.06836497,5.793536868,U,U,8.6
67,Alaska_Aleutian,67.0,-175.835476,50.4962117,211.6733369,58.03991254,22.7383357,70.88804483,6.709484408,U,U,8.6
68,Alaska_Aleutian,68.0,-175.4848318,50.51634349,217.3429129,58.01363512,21.79413806,70.79159555,7.019143616,U,U,8.6
69,Alaska_Aleutian,69.0,-175.1342092,50.53847207,220.8892365,57.96567534,22.23763816,70.6191256,5.350363416,U,U,8.6
70,Alaska_Aleutian,70.0,-174.7877044,50.57756093,230.7994231,57.85820614,23.90854514,70.51182596,7.350973662,U,U,8.6
71,Alaska_Aleutian,71.0,-174.4471617,50.63582861,247.1976617,57.70409374,26.95892584,70.32817714,6.877136567,U,U,8.6
72,Alaska_Aleutian,72.0,-174.1104345,50.70458756,266.1375817,57.56106626,30.56879897,70.13895138,10.94165149,U,U,8.6
73,Alaska_Aleutian,73.0,-173.7736293,50.7656202,281.2736602,57.45991894,32.68444095,70.02844065,10.56480471,U,U,8.6
74,Alaska_Aleutian,74.0,-173.428694,50.79111055,284.7457678,57.42737133,30.78677034,69.85969081,11.01128446,U,U,8.6
75,Alaska_Aleutian,75.0,-173.0797339,50.81517529,287.4583328,60.54289436,30.82601696,69.68536432,8.055538466,U,U,6.93
76,Alaska_Aleutian,76.0,-172.7325879,50.86174572,294.8273395,64.85806605,31.16196869,69.58412247,5.565269122,U,U,6.93
77,Alaska_Aleutian,77.0,-172.3817194,50.89331689,295.0086582,65.38844156,29.77848184,69.40524764,4.77672361,U,U,6.93
78,Alaska_Aleutian,78.0,-172.0280582,50.91464866,289.5635181,65.1832005,28.53489105,69.23325502,4.452003968,U,U,5.74
79,Alaska_Aleutian,79.0,-171.6767514,50.94761499,283.7806529,65.02687724,27.80337698,69.06196927,5.242769923,U,U,6.83
80,Alaska_Aleutian,80.0,-171.3318262,51.00057124,277.5437762,64.75694468,27.95171932,68.95868038,3.747024384,U,U,6.83
81,Alaska_Aleutian,81.0,-170.9925563,51.06942576,266.9804582,64.45236818,28.66540259,68.77094226,5.278075615,U,U,6.83
82,Alaska_Aleutian,82.0,-170.6543032,51.14143884,248.4353886,64.14587364,29.65817699,68.58409145,4.341911298,U,U,6.83
83,Alaska_Aleutian,83.0,-170.3182826,51.2181536,222.4260384,63.78085995,30.53667885,68.39813521,3.631703244,U,U,7.8
84,Alaska_Aleutian,84.0,-169.9835108,51.29810214,207.059349,63.44241723,30.59782049,68.20712646,3.052510068,U,U,7.8
85,Alaska_Aleutian,85.0,-169.6475898,51.37700841,211.804636,63.10121533,30.02280526,68.02301081,3.124831231,U,U,7.8
86,Alaska_Aleutian,86.0,-169.3103679,51.4542495,218.896665,62.78278391,29.20718614,67.83391777,6.129174877,U,U,6.83
87,Alaska_Aleutian,87.0,-168.9806032,51.5423995,228.7059198,62.29762872,29.9666453,67.64580992,4.70970117,U,U,6.83
88,Alaska_Aleutian,88.0,-168.6560299,51.63909308,235.6553841,61.92531418,29.98202349,67.45286428,4.643057199,U,U,6.83
89,Alaska_Aleutian,89.0,-168.322378,51.72440047,239.8333736,61.61195801,27.9841498,67.26678304,6.389729294,U,U,6.52
90,Alaska_Aleutian,90.0,-167.9815553,51.80047974,243.6039605,61.29794385,26.46304703,67.08171211,6.36400017,U,U,6.52
91,Alaska_Aleutian,91.0,-167.6408556,51.87759842,250.5412576,60.93530405,26.25165698,66.8976599,5.094178581,U,U,6.27
92,Alaska_Aleutian,92.0,-167.3034195,51.96092853,260.8000271,60.52486661,26.51630436,66.70893194,3.857786398,U,U,6.32
93,Alaska_Aleutian,93.0,-166.9729508,52.05328831,287.2788976,60.01965067,26.59474771,66.52130561,3.637063777,U,U,6.51
94,Alaska_Aleutian,94.0,-166.6420507,52.13654475,303.004921,59.73968317,23.13642838,66.34042584,3.608582696,U,U,6.51
95,Alaska_Aleutian,95.0,-166.3091688,52.21380989,343.2558648,59.28815744,22.09056411,66.1605993,4.422933571,U,U,6.51
96,Alaska_Aleutian,96.0,-165.9770497,52.3022562,360.9948433,58.89001916,21.0498961,65.97626543,5.081555388,U,U,6.96
